period,area_code,area_name,gender,geography,age,n
2018-06-30,E00030858,E00030858,Females,OA,0,3
2018-06-30,E00030858,E00030858,Males,OA,0,4
2018-06-30,E00030858,E00030858,Persons,OA,0,7
2018-06-30,E00030859,E00030859,Females,OA,0,1
2018-06-30,E00030859,E00030859,Males,OA,0,3
2018-06-30,E00030859,E00030859,Persons,OA,0,4
2018-06-30,E00030860,E00030860,Females,OA,0,1
2018-06-30,E00030860,E00030860,Males,OA,0,5
2018-06-30,E00030860,E00030860,Persons,OA,0,6
2018-06-30,E00030861,E00030861,Females,OA,0,2
2018-06-30,E00030861,E00030861,Males,OA,0,5
2018-06-30,E00030861,E00030861,Persons,OA,0,7
2018-06-30,E00030862,E00030862,Females,OA,0,0
2018-06-30,E00030862,E00030862,Males,OA,0,1
2018-06-30,E00030862,E00030862,Persons,OA,0,1
2018-06-30,E00030863,E00030863,Females,OA,0,3
2018-06-30,E00030863,E00030863,Males,OA,0,1
2018-06-30,E00030863,E00030863,Persons,OA,0,4
2018-06-30,E00030864,E00030864,Males,OA,0,3
2018-06-30,E00030864,E00030864,Persons,OA,0,6
2018-06-30,E01006091,Trafford 019A,Females,LSOA,0,16
2018-06-30,E01006091,Trafford 019A,Males,LSOA,0,25
2018-06-30,E01006091,Trafford 019A,Persons,LSOA,0,41
2018-06-30,E01006092,Trafford 019B,Females,LSOA,0,12
2018-06-30,E01006092,Trafford 019B,Males,LSOA,0,17
2018-06-30,E01006092,Trafford 019B,Persons,LSOA,0,29
2018-06-30,E01006095,Trafford 019C,Females,LSOA,0,16
2018-06-30,E01006095,Trafford 019C,Males,LSOA,0,12
2018-06-30,E01006095,Trafford 019C,Persons,LSOA,0,28
2018-06-30,E01006097,Trafford 015A,Females,LSOA,0,5
2018-06-30,E01006097,Trafford 015A,Males,LSOA,0,12
2018-06-30,E01006097,Trafford 015A,Persons,LSOA,0,17
2018-06-30,E01006098,Trafford 014A,Females,LSOA,0,9
2018-06-30,E01006098,Trafford 014A,Males,LSOA,0,7
2018-06-30,E01006098,Trafford 014A,Persons,LSOA,0,16
2018-06-30,E01006099,Trafford 014B,Females,LSOA,0,6
2018-06-30,E01006099,Trafford 014B,Males,LSOA,0,10
2018-06-30,E01006099,Trafford 014B,Persons,LSOA,0,16
2018-06-30,E01006102,Trafford 018A,Females,LSOA,0,11
2018-06-30,E01006102,Trafford 018A,Males,LSOA,0,12
2018-06-30,E01006102,Trafford 018A,Persons,LSOA,0,23
2018-06-30,E01006104,Trafford 017A,Females,LSOA,0,7
2018-06-30,E01006104,Trafford 017A,Males,LSOA,0,6
